observation_id,replicate,trial_seed,state,age,condition,first_action_delta_rms,first_action_delta_ee6_rms,first_action_delta_gripper_abs,gripper_sign_changed
rep_02_S12_age_11,2,42002,S12,11,stale_hidden_fresh_ref,0.10086582301574999,0.1088269830367954,0.012550950050354004,0
rep_02_S12_age_11,2,42002,S12,11,fresh_hidden_fresh_ref,0.09379529661954705,0.10116886080776007,0.013117671012878418,0
rep_03_S8_age_08,3,42003,S8,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_03_S8_age_08,3,42003,S8,8,fresh_hidden_empty_ref,0.09499370490840998,0.10251975249007153,0.0102386474609375,0
rep_03_S8_age_08,3,42003,S8,8,stale_hidden_fresh_ref,0.7600568956709405,0.13408138879584075,1.9839199781417847,1
rep_03_S8_age_08,3,42003,S8,8,fresh_hidden_fresh_ref,0.758948714752318,0.12654615870587085,1.9839199781417847,1
rep_03_S8_age_09,3,42003,S8,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_03_S8_age_09,3,42003,S8,9,fresh_hidden_empty_ref,0.13481776629501555,0.14545168777354398,0.017136216163635254,0
rep_03_S8_age_09,3,42003,S8,9,stale_hidden_fresh_ref,0.11485347449874243,0.12388706613918993,0.015849709510803223,0
rep_03_S8_age_09,3,42003,S8,9,fresh_hidden_fresh_ref,0.11608200328002173,0.12525839322476304,0.013683199882507324,0
rep_03_S8_age_10,3,42003,S8,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_03_S8_age_10,3,42003,S8,10,fresh_hidden_empty_ref,0.13731052261381294,0.14812659366423675,0.01817500591278076,0
rep_03_S8_age_10,3,42003,S8,10,stale_hidden_fresh_ref,0.10156810957698739,0.10951034676283204,0.016045868396759033,0
rep_03_S8_age_10,3,42003,S8,10,fresh_hidden_fresh_ref,0.10444468848729979,0.11265051415308612,0.01483309268951416,0
rep_03_S8_age_11,3,42003,S8,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_03_S8_age_11,3,42003,S8,11,fresh_hidden_empty_ref,0.16483659253581195,0.1776629155175311,0.028513967990875244,0
