observation_id,replicate,trial_seed,state,age,effect,effect_rms,effect_ee6_rms,effect_gripper_abs
rep_01_S12_age_09,1,42001,S12,9,hidden_effect_at_empty_ref,0.08171675252152018,0.08815266090184617,0.010864794254302979
rep_01_S12_age_09,1,42001,S12,9,hidden_effect_at_fresh_ref,0.015347967551707403,0.016577699658365568,0.0
rep_01_S12_age_09,1,42001,S12,9,ref_effect_at_stale_hidden,0.13183405275073876,0.14229559655734922,0.013164401054382324
rep_01_S12_age_09,1,42001,S12,9,ref_effect_at_fresh_hidden,0.20372872912329035,0.22005017507374014,0.0022996068000793457
rep_01_S12_age_09,1,42001,S12,9,hidden_ref_interaction,0.08515218608550192,0.09186785782832435,0.010864794254302979
rep_01_S12_age_10,1,42001,S12,10,hidden_effect_at_empty_ref,0.7495223303807823,0.11321777693642446,1.9635621905326843
rep_01_S12_age_10,1,42001,S12,10,hidden_effect_at_fresh_ref,0.010610264426689506,0.011458755992135233,0.0004748106002807617
rep_01_S12_age_10,1,42001,S12,10,ref_effect_at_stale_hidden,0.1262471731709947,0.13626447667129685,0.012664735317230225
rep_01_S12_age_10,1,42001,S12,10,ref_effect_at_fresh_hidden,0.7709431646360115,0.2053954668469669,1.9767017364501953
rep_01_S12_age_10,1,42001,S12,10,hidden_ref_interaction,0.7489186959275516,0.10701491325153449,1.964037001132965
rep_01_S12_age_11,1,42001,S12,11,hidden_effect_at_empty_ref,0.7551848406054155,0.15395682762565518,1.962119460105896
rep_01_S12_age_11,1,42001,S12,11,hidden_effect_at_fresh_ref,0.01871137164952073,0.02021053081030354,0.00012111663818359375
rep_01_S12_age_11,1,42001,S12,11,ref_effect_at_stale_hidden,0.09645034407331168,0.10404290729890747,0.013004720211029053
rep_01_S12_age_11,1,42001,S12,11,ref_effect_at_fresh_hidden,0.769298432811144,0.20047716741834512,1.9752452969551086
rep_01_S12_age_11,1,42001,S12,11,hidden_ref_interaction,0.7534180329071544,0.14322653684918385,1.9622405767440796
rep_02_S8_age_08,2,42002,S8,8,hidden_effect_at_empty_ref,0.09122010983385925,0.09848156506384995,0.007486462593078613
rep_02_S8_age_08,2,42002,S8,8,hidden_effect_at_fresh_ref,0.02282167264280095,0.024650223783656895,0.0
rep_02_S8_age_08,2,42002,S8,8,ref_effect_at_stale_hidden,0.7636317266520685,0.15601313495484545,1.9839085936546326
rep_02_S8_age_08,2,42002,S8,8,ref_effect_at_fresh_hidden,0.780018670074781,0.24247317360439258,1.976422131061554
rep_02_S8_age_08,2,42002,S8,8,hidden_ref_interaction,0.09337597898763192,0.10081126511219961,0.007486462593078613
rep_02_S8_age_09,2,42002,S8,9,hidden_effect_at_empty_ref,0.11274438938044834,0.1217298675188033,0.008373618125915527
rep_02_S8_age_09,2,42002,S8,9,hidden_effect_at_fresh_ref,0.026918188771102528,0.029072802546728786,0.0008689761161804199
rep_02_S8_age_09,2,42002,S8,9,ref_effect_at_stale_hidden,0.14914115615527768,0.16098323814266555,0.014421284198760986
rep_02_S8_age_09,2,42002,S8,9,ref_effect_at_fresh_hidden,0.20194988333583402,0.21794706597986827,0.021925926208496094
rep_02_S8_age_09,2,42002,S8,9,hidden_ref_interaction,0.12420550568206082,0.13412229111303658,0.007504642009735107
rep_02_S8_age_10,2,42002,S8,10,hidden_effect_at_empty_ref,0.15692222180477036,0.16928354618433875,0.020750224590301514
rep_02_S8_age_10,2,42002,S8,10,hidden_effect_at_fresh_ref,0.02150051574966822,0.023218614416023763,0.0011317729949951172
rep_02_S8_age_10,2,42002,S8,10,ref_effect_at_stale_hidden,0.1073391360290228,0.11576207809051159,0.015706002712249756
rep_02_S8_age_10,2,42002,S8,10,ref_effect_at_fresh_hidden,0.25109720580004,0.27083230674225545,0.03532445430755615
rep_02_S8_age_10,2,42002,S8,10,hidden_ref_interaction,0.17367249386666206,0.18741667581357455,0.019618451595306396
rep_02_S8_age_11,2,42002,S8,11,hidden_effect_at_empty_ref,0.1804769845366852,0.19462681803439172,0.026944458484649658
rep_02_S8_age_11,2,42002,S8,11,hidden_effect_at_fresh_ref,0.03860384822768905,0.041693479734102416,0.0013123154640197754
rep_02_S8_age_11,2,42002,S8,11,ref_effect_at_stale_hidden,0.1587917041565244,0.1714100482471693,0.014670014381408691
rep_02_S8_age_11,2,42002,S8,11,ref_effect_at_fresh_hidden,0.34577267364312697,0.37311457779457774,0.040302157402038574
